Date,Open,High,Low,Close,Adj Close,Volume
16.12.2016,77802.82,77904.15,77425.46,77589.65,77589.65,625470200
19.12.2016,77741.44,77937.02,77157.79,77157.79,77157.79,529743600
20.12.2016,77009.42,77875.02,76883.74,77807.89,77807.89,513965000
21.12.2016,77988.68,78203.47,77558.5,77619.47,77619.47,484434700
22.12.2016,77739.96,77867.05,77251.01,77404.74,77404.74,549501200
23.12.2016,77443.4,77588.76,76902.64,76972.15,76972.15,434429600
26.12.2016,77086,77257.17,77028.47,77028.47,77028.47,191843100
27.12.2016,77164.39,77265.91,76592.74,76699.41,76699.41,355029200
28.12.2016,76687.74,77549.13,76514.26,77547.71,77547.71,435774000
29.12.2016,77504.17,77953.46,77457.89,77835.85,77835.85,405154800
30.12.2016,77959.52,78371.86,77765.42,78138.66,78138.66,370372200
02.01.2017,77907.2,77969.07,77570.08,77754.46,77754.46,316345600
03.01.2017,77866.96,77951.89,76618.2,76618.2,76618.2,713319000
04.01.2017,76805.98,77022.24,75836.56,76143.59,76143.59,597230800
05.01.2017,76386.39,76808.59,75656.75,76386.3,76386.3,808890000
06.01.2017,76259.87,77150.22,76145.05,77106.57,77106.57,512230700
09.01.2017,76786.9,77634.9,76636.38,77394.44,77394.44,520439800
10.01.2017,77195.79,77733.15,77141.69,77393.69,77393.69,771506100
11.01.2017,77100.11,77806.91,76650.33,77666.58,77666.58,822196600
12.01.2017,77992.42,81090.33,77899.73,80891.04,80891.04,1454508000
13.01.2017,80783,81642.15,80358.94,81524.32,81524.32,1144893000
16.01.2017,81662.45,82160.05,81345,81711.69,81711.69,835624600
17.01.2017,82103.4,82540.91,81657.11,82362.77,82362.77,975383900
18.01.2017,82510.83,82895.24,82119.44,82779.25,82779.25,1016518000
19.01.2017,82964.1,83317.74,82028.44,82300.32,82300.32,914255400
20.01.2017,82350.96,83261.99,81997.22,83067.15,83067.15,741001200
23.01.2017,83429.51,83575.55,82899.81,83047.8,83047.8,742625300
24.01.2017,83195.9,84262.23,82880.21,84207.89,84207.89,965620400
25.01.2017,84129.38,84278.03,82811.15,83128.26,83128.26,849098200
26.01.2017,83418.81,84025.3,82922.63,83826.54,83826.54,773824400
27.01.2017,83578.96,84209.34,83441.56,83827.39,83827.39,710397100
30.01.2017,83670.05,86279.77,83650.45,86237.54,86237.54,1117071000
31.01.2017,86293.8,86717.05,85925.1,86295.72,86295.72,1060632000
01.02.2017,86390.04,86920.13,86000.86,86847.96,86847.96,831297000
02.02.2017,87166.87,87675.1,86819.3,87394.19,87394.19,1114073000
03.02.2017,87343.04,88389.5,87047.45,88389.5,88389.5,956386100
06.02.2017,89121.97,89537.82,87339.56,87357.86,87357.86,1114080000
07.02.2017,87154.8,88075.33,86877.27,87476.73,87476.73,903159400
08.02.2017,87598.98,88386.49,87316.37,88249.08,88249.08,870109800
09.02.2017,88383.01,89005.1,87846.48,88830.21,88830.21,966195300
10.02.2017,89119.9,89370.08,87318.54,87473.33,87473.33,1058086000
13.02.2017,87731.52,88814.01,87528.57,88578.31,88578.31,753414000
14.02.2017,88848.52,88870.62,87504.69,88082.21,88082.21,1004709000
15.02.2017,88294.26,88539.94,87726.11,87881.97,87881.97,773420500
16.02.2017,88246.07,88463.91,87997.5,88186.86,88186.86,641684800
17.02.2017,88134.81,88998.41,88069.73,88830.41,88830.41,632407000
20.02.2017,89458.72,89583.28,88467.94,88587.66,88587.66,709979300
21.02.2017,88719.84,89282.6,88719.84,88965.14,88965.14,626718800
22.02.2017,88833.26,89095.34,87467.14,88531.28,88531.28,705562900
23.02.2017,88851.33,89270.75,88736.6,89138.37,89138.37,670735400
24.02.2017,89201.95,89242.5,87892.67,88258.45,88258.45,638984100
27.02.2017,88416.68,88547.27,87706.04,87765.41,87765.41,523022500
28.02.2017,87740.99,88013.41,87244.99,87478.33,87478.33,848089700
01.03.2017,87720.11,89344.06,87638.93,89320.25,89320.25,971898600
02.03.2017,89460.06,90043.28,89417.38,89933.88,89933.88,835719900
03.03.2017,89853.17,89879.78,89365.33,89722.05,89722.05,802507800
06.03.2017,90065.15,91437.77,90065.15,91044.99,91044.99,743031100
07.03.2017,91380.63,91422.22,90621.31,90813.61,90813.61,797346100
08.03.2017,90881.17,90966.81,89136.4,89484.9,89484.9,895500000
09.03.2017,89196.22,89493.67,88648.56,89002.56,89002.56,685160300
10.03.2017,89331.33,89924.9,89324.34,89611.4,89611.4,578106300
13.03.2017,89550.55,89674.56,88921.13,89429.73,89429.73,593542200
14.03.2017,89572.51,89610.1,89094.66,89136.53,89136.53,641244900
15.03.2017,89372.6,90013.81,89372.6,89445.55,89445.55,671081200
16.03.2017,90348.34,90828.74,90137.77,90268.32,90268.32,740183200
17.03.2017,90535.07,90843.67,90102.3,90491.39,90491.39,676951200
20.03.2017,90261.59,90902.11,90132.06,90902.11,90902.11,597855900
21.03.2017,91185.25,91497,90440.13,90606.46,90606.46,924360100
22.03.2017,89982.4,90182.16,89277.36,89809.09,89809.09,867698600
23.03.2017,90121.09,90193.63,89601.33,89764.11,89764.11,653082600
24.03.2017,89869.45,90382.71,89657.41,90382.71,90382.71,559667600
27.03.2017,90290.67,90390.33,89514.48,89695.05,89695.05,665978200
28.03.2017,90134.82,90338.63,89846.39,90181.73,90181.73,631222200
29.03.2017,89242.59,89504,88818.56,89269.72,89269.72,717201700
30.03.2017,89427.71,89650.83,89112.87,89282.25,89282.25,562141200
31.03.2017,89283.98,89573,88886.89,88947.4,88947.4,651921200
03.04.2017,89020.47,89069.69,88576.96,88669.47,88669.47,461181400
04.04.2017,88058.09,88752.85,87997.7,88612.55,88612.55,511851100
05.04.2017,88199.29,89037.45,88129.92,89037.45,89037.45,639581800
06.04.2017,88580.47,88895.98,88527.59,88679.04,88679.04,585238000
07.04.2017,88364.3,88840.75,88351.21,88497.33,88497.33,597806900
10.04.2017,88765.78,91343.07,88730.81,91240.45,91240.45,945486600
11.04.2017,91303.97,91832.03,90836.38,90904.49,90904.49,839498600
12.04.2017,91256.44,91542.83,90952.16,90952.16,90952.16,740095900
13.04.2017,91200.73,91284.72,89735.59,89870.68,89870.68,703208800
14.04.2017,89680.96,90566.02,89347.46,90063.69,90063.69,502364700
17.04.2017,90731.33,90991.91,90052.4,90653.8,90653.8,675896100
18.04.2017,90472.99,91982.28,90397.15,91373.78,91373.78,810233400
19.04.2017,91582.84,91888.68,90434.32,90804.13,90804.13,947657300
20.04.2017,91165.92,92116.57,91148.08,92039.38,92039.38,776136900
21.04.2017,92651.7,92909.3,92326.5,92423.93,92423.93,719677200
24.04.2017,92920.01,93802.81,92770.72,93802.81,93802.81,849442200
25.04.2017,94217.43,94634.91,93188.15,94634.91,94634.91,933831700
